"Temperature","ids","Points:0","Points:1","Points:2"
51.2,1,0.512,0.5,0
51.3,1,0.513,0.5,0
51.4,1,0.514,0.5,0
51.5,1,0.515,0.5,0
51.6,1,0.516,0.5,0
51.7,1,0.517,0.5,0
51.8,1,0.518,0.5,0
51.9,1,0.519,0.5,0
52,1,0.52,0.5,0
52.1,1,0.521,0.5,0
52.2,1,0.522,0.5,0
52.3,1,0.523,0.5,0
52.4,1,0.524,0.5,0
52.5,1,0.525,0.5,0
52.6,1,0.526,0.5,0
52.7,1,0.527,0.5,0
52.8,1,0.528,0.5,0
52.9,1,0.529,0.5,0
53,1,0.53,0.5,0
53.1,1,0.531,0.5,0
53.2,1,0.532,0.5,0
53.3,1,0.533,0.5,0
53.4,1,0.534,0.5,0
53.5,1,0.535,0.5,0
53.6,1,0.536,0.5,0
53.7,1,0.537,0.5,0
53.8,1,0.538,0.5,0
53.9,1,0.539,0.5,0
54,1,0.54,0.5,0
54.1,1,0.541,0.5,0
54.2,1,0.542,0.5,0
54.3,1,0.543,0.5,0
54.4,1,0.544,0.5,0
54.5,1,0.545,0.5,0
54.6,1,0.546,0.5,0
54.7,1,0.547,0.5,0
54.8,1,0.548,0.5,0
54.9,1,0.549,0.5,0
55,1,0.55,0.5,0
55.1,1,0.551,0.5,0
55.2,1,0.552,0.5,0
55.3,1,0.553,0.5,0
55.4,1,0.554,0.5,0
55.5,1,0.555,0.5,0
55.6,1,0.556,0.5,0
55.7,1,0.557,0.5,0
55.8,1,0.558,0.5,0
55.9,1,0.559,0.5,0
56,1,0.56,0.5,0
56.1,1,0.561,0.5,0
56.2,1,0.562,0.5,0
56.3,1,0.563,0.5,0
56.4,1,0.564,0.5,0
56.5,1,0.565,0.5,0
56.6,1,0.566,0.5,0
56.7,1,0.567,0.5,0
56.8,1,0.568,0.5,0
56.9,1,0.569,0.5,0
57,1,0.57,0.5,0
57.1,1,0.571,0.5,0
57.2,1,0.572,0.5,0
57.3,1,0.573,0.5,0
57.4,1,0.574,0.5,0
