Temperature,Points:0,Points:1,Points:2
0.022648,0.5,0.065,0
0.022996,0.5,0.066,0
0.023345,0.5,0.067,0
0.023693,0.5,0.068,0
0.024042,0.5,0.069,0
0.02439,0.5,0.07,0
0.024739,0.5,0.071,0
0.025087,0.5,0.072,0
0.025436,0.5,0.073,0
0.025784,0.5,0.074,0
0.026132,0.5,0.075,0
0.026481,0.5,0.076,0
0.026829,0.5,0.077,0
0.027178,0.5,0.078,0
0.027526,0.5,0.079,0
0.027875,0.5,0.08,0
0.028223,0.5,0.081,0
0.028571,0.5,0.082,0
0.02892,0.5,0.083,0
0.029268,0.5,0.084,0
0.029617,0.5,0.085,0
0.029965,0.5,0.086,0
0.030314,0.5,0.087,0
0.030662,0.5,0.088,0
0.03101,0.5,0.089,0
0.031359,0.5,0.09,0
0.031707,0.5,0.091,0
0.032056,0.5,0.092,0
0.032404,0.5,0.093,0
0.032753,0.5,0.094,0
0.033101,0.5,0.095,0
0.033449,0.5,0.096,0
0.033798,0.5,0.097,0
0.034146,0.5,0.098,0
0.034495,0.5,0.099,0
0.034843,0.5,0.1,0
0.035226,0.5,0.101,0
0.03561,0.5,0.102,0
0.035993,0.5,0.103,0
0.036376,0.5,0.104,0
0.036759,0.5,0.105,0
0.037143,0.5,0.106,0
0.037526,0.5,0.107,0
0.037909,0.5,0.108,0
0.038292,0.5,0.109,0
0.038676,0.5,0.11,0
0.039059,0.5,0.111,0
0.039442,0.5,0.112,0
0.039826,0.5,0.113,0
0.040209,0.5,0.114,0
0.040592,0.5,0.115,0
0.040975,0.5,0.116,0
0.041359,0.5,0.117,0
0.041742,0.5,0.118,0
0.042125,0.5,0.119,0
0.042508,0.5,0.12,0
0.042892,0.5,0.121,0
0.043275,0.5,0.122,0
0.043658,0.5,0.123,0
0.044041,0.5,0.124,0
0.044425,0.5,0.125,0
0.044808,0.5,0.126,0
0.045191,0.5,0.127,0
0.045574,0.5,0.128,0
0.045958,0.5,0.129,0
0.046341,0.5,0.13,0
0.046724,0.5,0.131,0
0.047107,0.5,0.132,0
0.047491,0.5,0.133,0
0.047874,0.5,0.134,0
0.048257,0.5,0.135,0
0.048641,0.5,0.136,0
0.049024,0.5,0.137,0
0.049407,0.5,0.138,0
0.04979,0.5,0.139,0
0.050174,0.5,0.14,0
0.050557,0.5,0.141,0
0.05094,0.5,0.142,0
0.051323,0.5,0.143,0
0.051707,0.5,0.144,0
0.05209,0.5,0.145,0
0.052473,0.5,0.146,0
0.052856,0.5,0.147,0
0.05324,0.5,0.148,0
0.053623,0.5,0.149,0
0.054006,0.5,0.15,0
0.054389,0.5,0.151,0
0.054773,0.5,0.152,0
0.055156,0.5,0.153,0
0.055539,0.5,0.154,0
0.055922,0.5,0.155,0
0.056306,0.5,0.156,0
0.056689,0.5,0.157,0
0.057072,0.5,0.158,0
0.057456,0.5,0.159,0
0.057839,0.5,0.16,0
0.058222,0.5,0.161,0
0.058605,0.5,0.162,0
0.058989,0.5,0.163,0
0.059372,0.5,0.164,0
0.059755,0.5,0.165,0
0.060138,0.5,0.166,0
0.060522,0.5,0.167,0
0.060905,0.5,0.168,0
0.061288,0.5,0.169,0
0.061671,0.5,0.17,0
0.062055,0.5,0.171,0
0.062438,0.5,0.172,0
0.062821,0.5,0.173,0
0.063204,0.5,0.174,0
0.063588,0.5,0.175,0
0.063971,0.5,0.176,0
0.064354,0.5,0.177,0
0.064737,0.5,0.178,0
0.065121,0.5,0.179,0
0.065504,0.5,0.18,0
0.065887,0.5,0.181,0
0.06627,0.5,0.182,0
0.066654,0.5,0.183,0
0.067037,0.5,0.184,0
0.06742,0.5,0.185,0
0.067804,0.5,0.186,0
0.068187,0.5,0.187,0
0.06857,0.5,0.188,0
0.068953,0.5,0.189,0
0.069337,0.5,0.19,0
0.06972,0.5,0.191,0
0.070103,0.5,0.192,0
0.070486,0.5,0.193,0
0.07087,0.5,0.194,0
0.071253,0.5,0.195,0
0.071636,0.5,0.196,0
0.072019,0.5,0.197,0
0.072403,0.5,0.198,0
0.072786,0.5,0.199,0
0.073169,0.5,0.2,0
0.073625,0.5,0.201,0
